Name of the Power Station,Fuel,Producer ,     Installed Capacity,, Capacity,"for Fuel
",for plant. S/D,Shut down (date)/,Start up,Area,,,
sspoweri,Coal,SS Power ,2*612,1224,1224,869,,Coal Shortage.,,Chattogram,,,
coxsbazarwind,Wind,IPP,66,0,0,,,On test.,,Chattogram,,,
matarbari2600cpgcl,Coal,CPGCL,0,575,575,,,On test.,,Chattogram,,,
mirsharai150,Gas,BPDB-RPCL,18.5*9,0,0,,,On test.,,Chattogram,,,
ashuganj3,Gas,APSCL,1*150,0,0,,,Contract Expired,,Cumilla,,,
ashuganj4,Gas,APSCL,1*150,0,0,,,Contract Expired,,Cumilla,,,
ashuganj5,Gas,APSCL,1*150,0,0,,,Contract Expired,,Cumilla,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,,221,Under maint.,,Cumilla,,,
ashuganj450north,Gas,APSCL,1*360,360,360,,360,Under maint.,,Cumilla,,,
ashuganj450south,Gas,APSCL,1*360,360,360,40,,Gas shortage,,Cumilla,,,
ashuganj420east,Gas,APSCL,284*1+116*1,400,400,40,,Gas shortage,,Cumilla,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,,,,,Cumilla,,,
ashuganj55precision,Gas,QRPP,0,55,55,15,,Gas shortage,,Cumilla,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,195,,Gas shortage,,Cumilla,,,
ashuganj51midland,Gas,IPP,6*9.34,51,51,,,,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,125,,Fuel shortage,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,12,Engine problem,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,163,Under Maint.,,Cumilla,,,
chandpur200deshenergy,HFO,IPP,12*18.4,200,200,182,,Fuel shortage,,Cumilla,,,
feni22doreen,Gas,"SIPP, PDB",8*2.90,22,22,,6,Engine problem,,Cumilla,,,
feni11doreen,Gas,"SIPP, REB",4*2.90,11,11,,,,,Cumilla,,,
impoprttripura,,Imported power,0,160,160,,, ,,Cumilla,,,
jangalia33summit,Gas,"SIPP, PDB",4*8.73,33,33,,,,,Cumilla,,,
jangalia52lakdanavi,HFO,IPP,6*8.92,52,52,44,,Fuel shortage,,Cumilla,,,
cumilla25summit,Gas,"SIPP, REB",3*3.67+2*6.97,25,25,,10,Engine problem,,Cumilla,,,
