Name of the Power Station,Fuel,Producer ,     Installed Capacity,, Capacity,"for Fuel
",for plant. S/D,Shut down (date)/,Start up,Area,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,,18,Engine problem,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,78,,Fuel shortage,,Chattogram,,,
barabkunda22regent,Gas,"SIPP, PDB",8*2.90,22,22,12,,Gas shortage,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,78,,Fuel shortage,,Chattogram,,,
jodiacpower,HFO,IPP,3*18.55+1*3.6,54,54,,,Fuel shortage,,Chattogram,,,
karnaphulipower,HFO,IPP,18.415*6+6.5,110,110,10,,Fuel shortage,,Chattogram,,,
mirsharai150,Gas/HFO,BPDB-RPCL,18.5*9,0,0,,,On test.,,Chattogram,,,
ashuganj450south,Gas,APSCL,1*360,360,360,,,under maint.,,Cumilla,,,
ashuganj55precision,Gas,QRPP,15*4,55,55,,,Contract Expired,,Cumilla,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,10,,,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,17,Engine problem,,Cumilla,,,
chandpur200deshenergy,HFO,IPP,12*18.4,200,200,183,,Fuel shortage,,Cumilla,,,
feni22doreen,Gas,"SIPP, PDB",8*2.90,22,22,,4,Engine problem,,Cumilla,,,
feni11doreen,Gas,"SIPP, REB",4*2.90,11,11,,4,Engine problem,,Cumilla,,,
jangalia52lakdanavi,HFO,IPP,6*8.92,52,52,,,Fuel shortage,,Cumilla,,,
daudkandi200btrac,HSD,IPP,154*1.4,200,200,,,Contract Expired,,Cumilla,,,
fenilankapower,HFO,IPP,7*18.415+1*9.78,114,114,114,,Fuel shortage,,Cumilla,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,17,,Fuel shortage,,Cumilla,,,
chandpur115doreen,HFO,IPP,4*18.5+2*22.5,115,115,21,,Fuel shortage,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,101,,Gas shortage,,Mymensingh,,,
tangail22doreen,Gas,"SIPP, PDB",8*2.90,22,22,3,,Gas shortage,,Mymensingh,,,
jamalpur95powerpac,HFO,IPP,12*8.924,95,0,,,,,Mymensingh,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,110,,Fuel shortage,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,21,,Fuel shortage,,Mymensingh,,,
tangailpallipowergen22,HFO,IPP,4*6.7,22,22,10,,Fuel shortage,,Mymensingh,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,61,Machine problem,,Sylhet,,,
kushiara163kp,Gas,IPP,1*109+1*54,163,163,,163,Under maint,,Sylhet,,,
fenchuganj44energyprima,Gas,NENP,12*3.3+5*2,50,50,,,,,Sylhet,,,
shahjahanulla25,Gas,"SIPP, REB",3*9.34,25,25,17,,Gas shortage,,Sylhet,,,
khulna115kpcl2,HFO,NENP,7*17,115,115,,17,Engine problem,,Khulna,,,
faridpur50peaking,HFO,PDB,8*6.89,54,54,,11,Engine problem,,Khulna,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,,27,Engine problem,,Khulna,,,
noapara40khanjahanali,HFO,NENP,5*8.5,40,40,,,,,Khulna,,,
noapara100banglatrac,HSD,IPP,70*1.4,100,100,100,,Fuel shortage,,Khulna,,,
rampal1320bifpcl,Coal,NTPC&BPDB,660*2,617,617,,,Coal Shortage.,,Khulna,,,
bhola33venture,Gas,NENP,1*34.50,40,40,,8,Engine problem,,Barisal,,,
bholanutanbiddutbd,Gas,IPP,220,220,220,,220,Under maintenance,,Barisal,,,
barisal307,Coal,BCPCL,307*1,307,307,,,,,Barisal,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,,24,Engine problem,,Rajshahi,,,
bera70peaking,HFO,PDB,9*8.29,71,71,,36,Engine problem,,Rajshahi,,,
amnura50sinha,HFO,QRPP,7*7.79,50,0,,,,,Rajshahi,,,
katakhali50peaking,HFO,PDB,6*8.7,50,50,,10,Engine problem,,Rajshahi,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,40,,Gas shortage,,Rajshahi,,,
sirajgonj2253,Gas/HSD,NWPGCL,1*141,220,220,60,,Gas shortage,,Rajshahi,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,34,,Gas shortage,,Rajshahi,,,
ullapara11summit,Gas,"SIPP, REB",4*2.90,11,11,,3,Engine problem,,Rajshahi,,,
chapainawabganj100peaking,HFO,PDB,12*8.924,104,104,,21,Enginr problem,,Rajshahi,,,
bagura113confidence2,HFO,IPP,6*18.55+7.2,113,113,63,,Fuel shortage,,Rajshahi,,,
confidencepowerbogura1113,HFO,IPP,6*18.55,113,113,58,,Fuel shortage,,Rajshahi,,,
adanipowerjharkhanda,Coal,Import,0,0,0,,,On test.,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,10,,Coal Shortage.,,Rangpur,,,
rangpur113confidence,HFO,IPP,9*6.984+7*7.015+3.15*2,113,113,,,Fuel shortage,,Rangpur,,,
teestasolarlimited,Solar,BPCL ,16*12.5,0,0,,,,,Rangpur,,,
ghorasal12,Gas,PDB,2*55,110,85,,85,#1 & 2 Under maint.,,Dhaka,,,
ghorasalrepowered3,Gas,PDB,1*210,210,170,,,,,Dhaka,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,,365,Under maint.,,Dhaka,,,
haripurg,Gas,"SBU, PDB",2*32,64,40,40,,Gas shortage,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,,,Under shut down.,,Dhaka,,,
siddhirganjdesh,HSD,QRPP,96*1.2,0,0,,,Contract expired,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217,217,217,,,Test,,Dhaka,,,
bosila108clc,HFO,IPP,12*8.775+1*3.5,108,108,,36,Engine problem,,Dhaka,,,
gazipur52,HFO,IPP,6*8.9,52,52,,10,Engine problem,,Dhaka,,,
chattogram2,Gas,PDB,1*210,210,180,60,,Gas shortage,,Chattogram,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,,,,Chattogram,,,
sikalbaha51energis,HFO,RPP ,4*12.5+2*11.9+1*3+1*1.5,51,51,,,Contract expired,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,,11,Engine problem,,Chattogram,,,
anwara300ed,HFO,IPP,300 MW,300,300,,,,,Chattogram,,,
jodiacpower,HFO,IPP,54.36,0,0,,,,,Chattogram,,,
karnaphulipower,HFO,IPP,110,0,0,,,,,Chattogram,,,
ashuganj450north,Gas,APSCL,1*360,360,360,,,,,Cumilla,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,,9,Engine problem,,Cumilla,,,
ashuganj53ed,Gas,QRPP,14*4,53,53,,,Contract expired,,Cumilla,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,117,,Gas shortage,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,,,,Cumilla,,,
cumilla25summit,Gas,"SIPP, PDB",3*3.67+2*6.97,25,25,,5,Engine problem,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,,57,GT-1 Under maint.,,Mymensingh,,,
fenchugonjphase2,Gas,PDB,!F71,104,90,,,,,Sylhet,,,
shahjibazar50epl,Gas,RPP,27*2.0,50,50,,6,Engine problem,,Sylhet,,,
sylhet150,Gas,PDB,1*142,142,142,,,,,Sylhet,,,
sylhet20g,Gas,PDB,1*20,20,20,,3,Engine problem,,Sylhet,,,
sylhet50epl,Gas,RPP ,27*2,50,50,,5,Engine problem,,Sylhet,,,
bibiyanaiii400,Gas,PDB,285 MW,285,285,,,,,Sylhet,,,
khulna115kpcl13,HFO,IPP,19*6.5,0,0,,,Contract expired,,Khulna,,,
madhumati100,HFO,IPP,100 MW,105,105,,20,Engine problem,,Khulna,,,
baghabari100g,Gas,PDB,1*100,100,100,,100,Under maint.,,Rajshahi,,,
bagura113confidence,HFO,IPP,113 MW,113,113,,,,,Rajshahi,,,
rangpur113confidence,HFO,IPP,113 MW,0,0,,,,,Rangpur,,,
sympasolarpower8,Solar,IPP,8 MW,0,0,,,,,Rangpur,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,365,,Gas shortage,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,110,,Gas shortage,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,270,,Gas shortage,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,305,305,305,,Gas shortage,,Dhaka,,,
keraniganj100powerpac,HFO,QRPP,8*13.45,100,100,,64,Engine problem,,Dhaka,,,
narshingdi22doreen,Gas,"SIPP, REB",8*2.90,22,22,,3,Engine problem,,Dhaka,,,
patenga50baraka,HFO,IPP,8*6.98,50,50,,30,Engine problem,,Chattogram,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,147,Low Water Level ,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,18,,Engine problem,,Chattogram,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,51,,Gas shortage,,Cumilla,,,
ashuganj450north,Gas,APSCL,1*360,360,360,210,,Gas shortage.,,Cumilla,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,40,,Gas shortage,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,163,Under maintenance,2022-01-19 00:00:00,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,147,,Gas shortage,,Mymensingh,,,
jamalpur95powerpac,HFO,IPP,12*8.924,95,8,,8,Under maint.,,Mymensingh,,,
fenchugonjphase1,Gas,PDB,2*32+1*33,97,70,,28,Machine problem.,,Sylhet,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,90,Under maintenance,,Sylhet,,,
shahjibazar100g,Gas,PDB,1*100,100,100,,100,Machine problem,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,41,Machine problem,,Sylhet,,,
bibianaii341summit,Gas,IPP,1*222+1*119,341,341,,,,,Sylhet,,,
bhola33venture,Gas,RPP,1*34.50,33,33,,8,Engine problem,,Barisal,,,
bhola225,Gas,PDB,2*63+1*68,194,194,103,,Gas shortage,,Barisal,,,
amnura50sinha,HFO,QRPP,7*7.79,50,50,,50,Fuel shortage,,Rajshahi,,,
santahar50peaking,HFO,PDB,6*8.7,50,50,,50,Under maint ,,Rajshahi,,,
natore52rajlanka,HFO,IPP,52,52,52,25,,Fuel shortage,,Rajshahi,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,12,,,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,30,,Gas shortage,,Dhaka,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,67,,Fuel shortage,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,335,335,,335,Under maint,,Dhaka,,,
madanganj102summit,HFO,NENP,6*17,102,102,51,,Fuel shortage,,Dhaka,,,
keraniganj100powerpac,HFO,NENP,8*13.45,100,75,15,,Fuel shortage,,Dhaka,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,117,,Gas shortage,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,,62,Engine problem,,Dhaka,,,
kodda150,HFO,BPDB-RPCL,9*17.06,149,149,85,,Fuel shortage,,Dhaka,,,
manikganj55northern,HFO,IPP,3*19.3,55,55,20,,Fuel shortage,,Dhaka,,,
summitpowermadhabdiashulia,Gas,"SIPP,REB",3*3.67+4*8.73,80,80,,40,Engine problem,,Dhaka,,,
gazipur52,HFO,RPCL,6*8.9,52,52,27,,Fuel shortage,,Dhaka,,,
kodda3002summit,HFO,IPP,18*17.076,300,300,155,,Fuel shortage,,Dhaka,,,
keranigonj300apr,HSD,IPP,256*1.4,300,300,,,Contract Expired,,Dhaka,,,
gazipur100,HFO,RPCL,6*17.5,105,105,17,,Fuel shortage,,Dhaka,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,49,,Fuel shortage,,Dhaka,,,
chattogram1,Gas,PDB,1*210,210,180,,60,,,Chattogram,,,
patenga50baraka,HFO,IPP,8*6.98,50,50,3,,,,Chattogram,,,
sikalbaha105barakasikalbaha,HFO,IPP,6*17.5,105,105,37,,Fuel shortage,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,39,,Fuel shortage,,Chattogram,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,,68,Fuel shortage,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,54,,Fuel shortage,,Chattogram,,,
juldah1003acorn,HFO,IPP,8*13.5,100,100,50,,Fuel shortage,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,96,,Fuel shortage,,Chattogram,,,
anwara300ed,HFO,IPP,17*17+24,300,300,3,,Fuel shortage,,Chattogram,,,
jodiacpower,HFO,IPP,3*18.55+1*3.6,54,54,37,,Fuel shortage,,Chattogram,,,
karnaphulipower,HFO,IPP,18.415*6+6.5,110,110,55,,Engine problem.,,Chattogram,,,
juldah2acorn,HFO,IPP,8*13.6,100,100,50,,Fuel shortage,,Chattogram,,,
anlimaenergy,HFO,IPP,6*21.2,116,116,65,,Fuel shortage,,Chattogram,,,
mirsharai150,Gas/HFO,BPDB-RPCL,18.5*9,163,163,21,,Fuel shortage,,Chattogram,,,
sspoweri,Coal,SS Power ,0,0,0,,,On test.,,Chattogram,,,
matarbari2600cpgcl,Coal,CPGCL,0,0,0,,,,,Chattogram,,,
ashuganj450north,Gas,APSCL,1*360,360,360,80,,Gas shortage,,Cumilla,,,
ashuganj450south,Gas,APSCL,1*360,360,360,90,,Gas shortage,,Cumilla,,,
ashuganj420east,Gas,APSCL,284*1+116*1,400,400,160,,Gas shortage,,Cumilla,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,45,,Gas shortage,,Cumilla,,,
ashuganj55precision,Gas,QRPP,15*4,55,0,,,Contract Expired,,Cumilla,,,
chandpur200deshenergy,HFO,IPP,12*18.4,200,200,100,,Fuel shortage,,Cumilla,,,
jangalia52lakdanavi,HFO,IPP,6*8.92,52,52,52,,Fuel shortage,,Cumilla,,,
cumilla25summit,Gas,"SIPP, REB",3*3.67+2*6.97,25,25,,5,Engine problem,,Cumilla,,,
fenilankapower,HFO,IPP,7*18.415+1*9.78,114,114,9,,Fuel shortage,,Cumilla,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,85,,Fuel shortage,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,117,,Gas shortage,,Mymensingh,,,
tangail22doreen,Gas,"SIPP, PDB",8*2.90,22,22,,6,Engine problem,,Mymensingh,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,58,,Fuel shortage,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,30,,Fuel shortage,,Mymensingh,,,
kushiara163kp,Gas,IPP,1*109+1*54,163,163,,51,ST Under maint.,,Sylhet,,,
shahjibazarg89,Gas,PDB,2*35,70,66,,16,,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,51,Machine problem,,Sylhet,,,
bibiyanaiii400,Gas,PDB,285*1+134*1,400,400,,50,,,Sylhet,,,
khulna115kpcl2,HFO,NENP,7*17,115,115,,67,Engine problem,,Khulna,,,
faridpur50peaking,HFO,PDB,8*6.89,54,54,,14,Engine problem,,Khulna,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,58,,Fuel shortage,,Khulna,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,120,,Gas shortage,,Khulna,,,
rupsha105orionrupsha,HFO,IPP,6*18.445,105,105,70,,Fuel shortage,,Khulna,,,
khulna330,Gas/HSD,BPDB,1*220+1*110,220,220,,,,,Khulna,,,
rampal1320bifpcl,Coal,NTPC&BPDB,660*2,617,617,49,,Coal shortage,,Khulna,,,
bhola33venture,Gas,NENP,1*34.50,40,40,,10,Engine problem,,Barisal,,,
barisal307,Coal,IPP,307*1,307,307,307,,Coal shortage,,Barisal,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,17,,Fuel shortage,,Rajshahi,,,
katakhali50northern,HFO,QRPP,6*8.9,50,50,16,,Fuel shortage,,Rajshahi,,,
katakhali50peaking,HFO,PDB,6*8.7,50,50,15,,Fuel shortage,,Rajshahi,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,,210,Gas shortage,,Rajshahi,,,
sirajgonj2252,Gas/HSD,NWPGCL,1*150+1*75,220,220,,,Fuel shortage,,Rajshahi,,,
sirajgonj2253,Gas/HSD,NWPGCL,1*141,220,220,20,,,,Rajshahi,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,14,,,,Rajshahi,,,
santahar50peaking,HFO,PDB,6*8.7,50,50,20,,Fuel shortage,,Rajshahi,,,
bogra22gbb,Gas,RPP ,6*4,22,0,,,Contract Expired,,Rajshahi,,,
chapainawabganj100peaking,HFO,PDB,12*8.924,104,104,14,,Fuel shortage,,Rajshahi,,,
baghabari200paramount,HSD,IPP,135*1.6,200,200,,,,,Rajshahi,,,
confidencepowerbogura1113,HFO,IPP,6*18.55,113,113,56,,Fuel shortage,,Rajshahi,,,
adanipowerjharkhanda,Coal,Import,748*2,1496,1496,,,,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,85,,,,Rangpur,,,
rangpur113confidence,HFO,IPP,9*6.984+7*7.015+3.15*2,113,113,57,,Fuel shortage,,Rangpur,,,
ghorashal785max,Gas,QRPP,2*40,78,78,,12,Engine problem,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,305,305,155,,GT-1 Under shut down.,,Dhaka,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,210,,Gas Shortage,,Dhaka,,,
siddhirganj100dutchbangla,HFO,QRPP ,12*8.9,100,100,,18,Engine problem,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,,9,Engine problem,,Dhaka,,,
katpotti52sinha,HFO,IPP,7*7.9,51,51,51,,Fuel Shortage.,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,158,,Low water level & Unit-4&5 under maint.,,Chattogram,,,
barabkunda22regent,Gas,"SIPP, PDB",8*2.90,22,22,,4,Engine problem,,Chattogram,,,
ashuganj3,Gas,APSCL,1*150,150,135,135,,Gas Shortage,,Cumilla,,,
ashuganj4,Gas,APSCL,1*150,150,129,29,,Gas Shortage,,Cumilla,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,,25,Engine problem,,Cumilla,,,
ashuganj55precision,Gas,RPP ,15*4,55,55,45,,Gas shortage,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,73,ST under shut down,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,52,,Gas shortage,,Mymensingh,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,,,,Sylhet,,,
shahjibazar86shahjibazar,Gas,RPP ,32*2.90,86,86,,10,Engine problem,,Sylhet,,,
amnura50sinha,HFO,QRPP,7*7.79,50,50,50,,Fuel shortage.,,Rajshahi,,,
barapukuria2753,Coal,PDB,1*275,274,274,,,Coal Shortage.,,Rangpur,,,
saidpur20g,HSD,PDB,1*20,20,20,,10,Engine problem,,Rangpur,,,
haripur412,Gas,EGCB,1*273+1*139,412,400,,400,Under maint.,2024-11-17 00:00:00,Dhaka,,,
keraniganj100powerpac,HFO,NENP,8*13.45,100,75,,75,Under maint.,,Dhaka,,,
summitpowermadhabdiashulia,Gas,"SIPP,REB",3*3.67+4*8.73,80,80,,38,Engine problem,,Dhaka,,,
maona33summit,Gas,"SIPP,REB",4*8.73,33,33,,10,Engine problem,,Dhaka,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,88,,Fuel shortage,,Dhaka,,,
kanchanpurbachalpowergeneration,HFO,IPP,18.4*3,55,55,,19,Fuel shortage,,Dhaka,,,
summitmeghanghat2589,Gas,IPP,589,583,583,183,,Gas shortage,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,98,,Low water level,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,,28,Engine problem,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,73,,Fuel shortage,,Chattogram,,,
anwara300ed,HFO,IPP,17*17+24,300,300,150,,Fuel shortage,,Chattogram,,,
jodiacpower,HFO,IPP,3*18.55+1*3.6,54,54,19,,Fuel shortage,,Chattogram,,,
anlimaenergy,HFO,IPP,6*21.2,116,116,63,,Fuel shortage,,Chattogram,,,
sspoweri,Coal,IPP,2*612,1224,1224,,612,Partial Shutdown due to maintenance,,Chattogram,,,
matarbari2600cpgcl,Coal,CPGCL,2*575,1150,1150,1150,,Coal shortage,,Chattogram,,,
ashuganj420east,Gas,APSCL,284*1+116*1,400,400,,,,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,30,,Fuel shortage,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,16,Engine problem,,Cumilla,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,58,,Fuel shortage,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,172,,Gas shortage,,Mymensingh,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,104,,Fuel shortage,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,58,,Fuel shortage,,Mymensingh,,,
fenchugonjphase1,Gas,PDB,2*32+1*33,97,70,,70,Gas shortage,,Sylhet,,,
kushiara163kp,Gas,IPP,1*109+1*54,163,163,,163,S/D for FGMO implementation,,Sylhet,,,
sylhet20g,Gas,PDB,1*20,20,20,20,,Gas shortage,,Sylhet,,,
shahjahanulla25,Gas,"SIPP, REB",3*9.34,25,25,,12,Engine problem,,Sylhet,,,
rampal1320bifpcl,Coal,NTPC&BPDB,617*2,1234,1234,617,,Coal shortage,,Khulna,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,67,Machine problem,,Barisal,,,
edpayrapower,HFO,IPP,8*18.5+1*9.5,150,150,,13,Engine problem,,Barisal,,,
barisal307,Coal,IPP,307*1,307,307,,307,Under maint,,Barisal,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,,7,Engine problem,,Rajshahi,,,
katakhali50peaking,HFO,PDB,6*8.7,50,50,,7,Engine problem,,Rajshahi,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,30,,Gas shortage,,Rajshahi,,,
sirajgonj4004,Gas/HSD,"IPP, SNWPGCL",1*282+1*132,414,414,,,FGMO,,Rajshahi,,,
natore52rajlanka,HFO,IPP,6*8.92,52,52,52,,Fuel shortage,,Rajshahi,,,
bagura113confidence2,HFO,IPP,6*18.55+7.2,113,113,,18,Engine problem,,Rajshahi,,,
barapukuria1,Coal,PDB,1*125,125,85,,18,Machine problem,,Rangpur,,,
barapukuria2753,Coal,PDB,1*275,274,274,,144,Machine problem,,Rangpur,,,
ghorasalrepowered4,Gas,PDB,1*210,210,180,50,,Gas shortage,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,335,335,,,FGMO,,Dhaka,,,
madanganj102summit,HFO,NENP,6*17,102,102,,3,,,Dhaka,,,
keraniganj100powerpac,HFO,QRPP,8*13.45,100,20,,,Contract Expired,,Dhaka,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,10,,,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,75,,Fuel shortage,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,,125,ST under maint.,,Dhaka,,,
kamalaghat54bancoenergy,HFO,IPP,3*18,54,54,37,,Fuel shortage,,Dhaka,,,
summitpowermadhabdiashulia,Gas,"SIPP,REB",3*3.67+4*8.73,80,80,,34,Engine problem,,Dhaka,,,
tongi80g,Gas,PDB,1* 105,105,105,65,,Gas shortage,,Dhaka,,,
kodda3002summit,HFO,IPP,18*17.076,300,300,150,,Fuel shortage,,Dhaka,,,
bramhangoan100aggreko,HSD,IPP,114*0.959,100,100,,100,Contract Expired,,Dhaka,,,
manikgonj162mpgl,HFO,IPP,9*18,162,162,108,,Fuel shortage,,Dhaka,,,
kanchanpurbachalpowergeneration,HFO,IPP,18.4*3,55,55,20,,Fuel shortage,,Dhaka,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,,38,Engine problem,,Chattogram,,,
dohazarikalaish100peaking,HFO,PDB,6*17,102,102,,51,Engine problem,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,67,,Fuel shortage,,Chattogram,,,
juldah1003acorn,HFO,IPP,8*13.5,100,100,,10,Engine problem,,Chattogram,,,
karnaphulipower,HFO,IPP,18.415*6+6.5,110,110,56,,Fuel shortage,,Chattogram,,,
juldah2acorn,HFO,IPP,8*13.6,100,100,,10,Engine problem,,Chattogram,,,
anlimaenergy,HFO,IPP,6*21.2,116,116,48,,Fuel shortage,,Chattogram,,,
mirsharai150,Gas/HFO,BPDB-RPCL,18.5*9,163,163,,,On test.,,Chattogram,,,
coxsbazarwind,Wind,IPP,66,0,0,,,,,Chattogram,,,
ashuganj420east,Gas,APSCL,284*1+116*1,400,400,,,ST process,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,8,Engine problem,,Cumilla,,,
jangalia33summit,Gas,"SIPP, PDB",4*8.73,33,33,,8,Engine problem,,Cumilla,,,
jangalia52lakdanavi,HFO,IPP,6*8.92,52,52,,9,Engine problem,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,102,,Gas shortage,,Mymensingh,,,
tangail22doreen,Gas,"SIPP, PDB",8*2.90,22,22,6,,Gas shortage,,Mymensingh,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,114,,Fuel shortage,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,29,,Fuel shortage,,Mymensingh,,,
kushiara163kp,Gas,IPP,1*109+1*54,163,163,,51,ST under maint.,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,48,Machine problem,,Sylhet,,,
shahjahanulla25,Gas,"SIPP, REB",3*9.34,25,25,9,,Gas shortage,,Sylhet,,,
bibianaii341summit,Gas,IPP,1*222+1*119,341,341,,21,FGMO,,Sylhet,,,
bibiyanasouth400,Gas,PDB,400 MW,383,383,,128,ST under maint.,,Sylhet,,,
khulna225,HSD,NWPGCL,1*150+1*75,230,230,30,,,,Khulna,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,270,,Gas shortage,,Khulna,,,
rupsha105orionrupsha,HFO,IPP,6*18.445,105,105,71,,Fuel shortage,,Khulna,,,
rampal1320bifpcl,Coal,NTPC&BPDB,660*2,617,617,247,,Coal Shortage.,,Khulna,,,
bhola33venture,Gas,NENP,1*34.50,40,40,,7,Engine problem,,Barisal,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,24,Machine problem,,Barisal,,,
payra1320,Coal,BCPCL,2*622,1244,1244,1244,,Coal Shortage.,,Barisal,,,
barisal307,Coal,BCPCL,307*1,307,307,157,,Coal Shortage.,,Barisal,,,
amnura50sinha,HFO,QRPP,7*7.79,50,28,,,,,Rajshahi,,,
katakhali50northern,HFO,QRPP,6*8.9,50,50,,7,Engine problem,,Rajshahi,,,
katakhali50peaking,HFO,PDB,6*8.7,50,50,,14,Engine problem,,Rajshahi,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,50,,Gas shortage,,Rajshahi,,,
